2011-08-05 00:32:15 Debug: Notice (1024): Please change the value of 'Security.salt' in app/config/core.php to a salt value specific to your application in [D:\wamp\www\Ideia-1.0\cake\libs\debugger.php, line 694]
2011-08-05 00:32:15 Debug: Notice (1024): Please change the value of 'Security.cipherSeed' in app/config/core.php to a numeric (digits only) seed value specific to your application in [D:\wamp\www\Ideia-1.0\cake\libs\debugger.php, line 698]
2011-08-05 00:32:51 Debug: Notice (1024): Please change the value of 'Security.salt' in app/config/core.php to a salt value specific to your application in [D:\wamp\www\Ideia-1.0\cake\libs\debugger.php, line 694]
2011-08-05 00:32:51 Debug: Notice (1024): Please change the value of 'Security.cipherSeed' in app/config/core.php to a numeric (digits only) seed value specific to your application in [D:\wamp\www\Ideia-1.0\cake\libs\debugger.php, line 698]
2011-08-05 00:34:50 Debug: Notice (1024): Please change the value of 'Security.salt' in app/config/core.php to a salt value specific to your application in [D:\wamp\www\Ideia-1.0\cake\libs\debugger.php, line 694]
2011-08-05 00:34:50 Debug: Notice (1024): Please change the value of 'Security.cipherSeed' in app/config/core.php to a numeric (digits only) seed value specific to your application in [D:\wamp\www\Ideia-1.0\cake\libs\debugger.php, line 698]
2011-08-08 01:05:58 Debug: Notice (8): Undefined property: Restaurante::$Restaurante in [D:\wamp\www\Ideia-1.0\app\models\restaurante.php, line 15]
2011-08-08 01:11:36 Debug: Notice (8): Undefined property: Restaurante::$Restaurante in [D:\wamp\www\Ideia-1.0\app\models\restaurante.php, line 15]
2011-08-08 01:23:57 Debug: Notice (8): Undefined variable: i in [D:\wamp\www\Ideia-1.0\app\controllers\restaurantes_controller.php, line 25]
2011-08-08 01:25:00 Debug: Notice (8): Undefined index: restaunreste in [D:\wamp\www\Ideia-1.0\app\controllers\restaurantes_controller.php, line 25]
2011-08-08 01:25:25 Debug: Notice (8): Undefined index: restaurante in [D:\wamp\www\Ideia-1.0\app\controllers\restaurantes_controller.php, line 25]
2011-08-08 01:25:35 Debug: Notice (8): Undefined index: name in [D:\wamp\www\Ideia-1.0\app\controllers\restaurantes_controller.php, line 25]
2011-08-08 01:25:35 Debug: Notice (8): Undefined index: name in [D:\wamp\www\Ideia-1.0\app\controllers\restaurantes_controller.php, line 25]
2011-08-08 01:25:35 Debug: Notice (8): Undefined index: name in [D:\wamp\www\Ideia-1.0\app\controllers\restaurantes_controller.php, line 25]
2011-08-08 01:25:35 Debug: Notice (8): Undefined index: name in [D:\wamp\www\Ideia-1.0\app\controllers\restaurantes_controller.php, line 25]
2011-08-08 01:25:35 Debug: Notice (8): Undefined index: name in [D:\wamp\www\Ideia-1.0\app\controllers\restaurantes_controller.php, line 25]
2011-08-08 01:25:35 Debug: Notice (8): Undefined index: name in [D:\wamp\www\Ideia-1.0\app\controllers\restaurantes_controller.php, line 25]
2011-08-08 01:31:57 Debug: Notice (8): Undefined index: restaurantes in [D:\wamp\www\Ideia-1.0\app\controllers\restaurantes_controller.php, line 25]
2011-08-08 01:31:57 Debug: Notice (8): Undefined index: restaurantes in [D:\wamp\www\Ideia-1.0\app\controllers\restaurantes_controller.php, line 26]
2011-08-08 01:41:38 Debug: Notice (8): Undefined index: Tipo in [D:\wamp\www\Ideia-1.0\app\controllers\restaurantes_controller.php, line 33]
2011-08-08 01:43:45 Debug: Notice (8): Undefined index: Tipo in [D:\wamp\www\Ideia-1.0\app\controllers\restaurantes_controller.php, line 33]
2011-08-08 01:43:45 Debug: Notice (8): Undefined index: Tipo in [D:\wamp\www\Ideia-1.0\app\controllers\restaurantes_controller.php, line 33]
2011-08-08 01:43:46 Debug: Notice (8): Undefined index: Tipo in [D:\wamp\www\Ideia-1.0\app\controllers\restaurantes_controller.php, line 33]
2011-08-08 01:43:53 Debug: Notice (8): Undefined index: Tipo in [D:\wamp\www\Ideia-1.0\app\controllers\restaurantes_controller.php, line 33]
2011-08-08 01:48:09 Debug: Notice (8): Undefined index: Tipo in [D:\wamp\www\Ideia-1.0\app\controllers\restaurantes_controller.php, line 33]
2011-08-08 01:48:23 Debug: Notice (8): Undefined index: tipo in [D:\wamp\www\Ideia-1.0\app\controllers\restaurantes_controller.php, line 33]
